,name,description,price,area,type,subway,floor,year,region,object,dist,lease_amount
20,"Продажа помещения 190 кв.м. ВАО ул. Нижегородская, 94к1","Помещение 190 м2, потолки 4,20, два входа, большие витрины. В непосредственной близости автобусная остановка. В пешей доступности две станции метро и станция МЦК. Свободный подъезд и парковка перед входом. Торг.",168 421,190.00 м2,Продажа,,1,1959,ВАО,помещение,,
21,"Продажа помещения 1030 кв.м. ЮАО ул. Москворечье, 14","Предлагается  цокольное помещение с окнами, хорошее естественное освещение в  отдельно стоящем двухэтажном  здании. Парадный вход и зона погрузки-разгрузки. Потолки 3,5 м. Любое свободное назначение.Разбит на блоки и занят разными арендаторами. Первый этаж занимает якорный арендатор- супермаркет Пятерочка. Посещаемость магазина 1400 человек в день. Близость спального массива с высокой плотностью застройки. Бесплатная собственная парковка на 100 м/м.доходность 12%",77 670,1030.00 м2,Продажа,Кантемировская,цокольный,1967,ЮАО,помещение,,950 000 руб.
22,"Продажа помещения 139.40 кв.м. ЗАО ш. Сколковское, 32","Продается Арендный бизнес. Первый этаж отдельно стоящего двухэтажного нежилого здания. Первая линия домов, интенсивный автомобильный трафик, свободная планировка, отдельный вход, огромные витрины и место под вывеску. Удобные подъездные пути, парковочные места. 50 кВт. Арендаторы: сеть магазинов «Вкусвилл», офис страховой компании. МАП 339200 рублей Возможна частичная рассрочка на 3 года.",251 076,139.40 м2,Продажа,Кунцевская,1,,ЗАО,помещение,,339 200 руб.
23,"Продажа помещения 348.20 кв.м. ЦАО пр-кт Комсомольский, 40/13с1","Арендный бизнес - помещение с сетевым арендатором, долгосрочный договор аренды. Площадь первого этажа - 200 м2. Разумный торг. Подробная информация по телефону.",396 324,348.20 м2,Продажа,Фрунзенская,1,до 1917,ЦАО,помещение,,900 000 руб.
24,"Продажа здания 1465.50 кв.м. ЮАО ул. Шаболовка, 67","Здание 1465,5м2 улица Шаболовка 67 в Даниловском районе ЮАО Москвы. пересечение улиц Шаболовка, Серпуховской вал и Орджоникидзе. 2-я линия домов. метро Шаболовка в пешей доступности 10мин, 700м. метро Тульская - 1 км. Великолепная транспортная доступность - Ленинский проспект и ТТК в 5 минутах на авто- 1 км., улица Люсиновская - 1 км. Остановки наземного общественного транспорта - 50м. Крупный жилой массив вокруг. В квартале- Даниловский рынок, ТЦ Ереван-Плаза. Центр гос.услуг в 200м.  Здание 1465,5 м2 : 3 этажа, подвал и тех этаж. Здание постройки 1953г, реконструировано в 2006 году. Выполнен полный ремонт с заменой всех коммуникаций. Установлены системы видеонаблюдения, приточно-вытяжная вентиляция, центральное кондиционирование. Лифт Otis. Офисная отделка, кабинетная планировка. Электричество - 110кВт.  земельный участок 1000м2 в долгосрочной аренде. огорожен, въезд через шлагбаум.",245 650,1465.50 м2,Продажа,Шаболовская,1,,ЮАО,здание,10 мин.,
25,"Продажа помещения 432 кв.м. СВАО пр-кт Мира, 135","Продажа торгового помещения на проспекте Мира на первом этаже 9 этажного жилого дома.Зальная планировка, вся площадь в первом этаже, три отдельных входа, витрины, высокие потолки. Часть помещения сдано в аренду сети ""Красное и белое"".Интенсивный пешеходный и автомобильный трафик.",136 574,432.00 м2,Продажа,ВДНХ,1,2017,СВАО,помещение,20 мин.,
26,Закрытая продажа помещения 76.60 кв.м ЦАО,"Продажа нежилого помещения с готовым арендным бизнесом на одной из наиболее оживленных локаций в районе знаменитых Патриарших прудов (пересечение Спиридоньевского переулка и Малой Бронной улицы). Круглосуточная активная жизнь (многочисленные бары, рестораны). При этом катастрофическая нехватка обычных продуктовых магазинов.  Цокольный этаж большого жилого дома 1932 года постройки. Отдельный вход со Спиридоньевского переулка. Отличная видимость. Реклама арендатора на фасаде здания. Арендатор - продуктовый мини-маркет ""РУСПРОДУКТ"". Долгосрочный договор аренды сроком на 10 лет до 2029 года. МАП - 600000 руб. Ежегодная индексация 4,0%. Одно из самых интересных предложений по продаже помещения с готовым арендным бизнесом на Патриках. Документы готовы к сделке. УСН.",979 112,76.60 м2,Закрытая продажа,,цокольный,1932,ЦАО,помещение,10 мин.,600 000 руб.
27,Закрытая продажа здания 487.90 кв.м СВАО,"Продажа отдельно стоящего нежилого здания с готовым арендным бизнесом. Типовой давно сложившийся ""спальный"" район в Отрадном с плотной застройкой. 10 минут пешком от метро ""Отрадное"". Первая линия домов. Большая стихийная парковка рядом со зданием. В течение 1 года будет открыт надземный пешеходный переход непосредственно от Олонецкой 24 к жилому массиву. Нежилое 1-этажное здание с небольшой антресолью площадью 487,9 м2 1996 года постройки. Высокие потолки (более 4,5 м). Несколько входных групп, в т.ч. зона погрузки-разгрузки. Мощность 70 кВт. Ранее в помещении долгое время работал ресторан грузинской кухни. Земельный участок 618 м2 в долгосрочной аренде. Арендатор - супермаркет ""Пятерочка"". Договор аренды от 10.06.2019г. на 7 лет (в помещении заканчивается ремонт, открытие магазина запланировано на конец июля 2019г.). МАП - 5,5% от РТО, но не менее 870000 руб. (в т.ч. НДС 20%).  Собственник помещения - юридическое лицо, плательщик НДС 20%.",153 720,487.90 м2,Закрытая продажа,,1,,СВАО,здание,12 мин.,870 000 руб.
28,"Продажа здания 250 кв.м. ЦАО пер. Вспольный, 11","Предлагается на продажу особняк , расположенный по адресу Вспольный переулок, дом 11. Особняк расположен на первой линии. Отдельно-стоящее здание 2007 года постройки в 5 минутах ходьбы от ст.м. Баррикадная . Состоит из подвала (потолки - 2,45 м.), 1 и 2 этажа (3 метра) и мансарды (2,45 м.). Два отдельных входа, кабинетная планировка, евроремонт. Приточно-вытяжная вентиляция, кондиционирование, электрическая мощность - 100 кВт , видеонаблюдение, контроль доступа. Наземная парковка на 4 автомобиля. Территория огорожена . Земельный участок (120 кв.м.) - в долгосрочной аренде до 2060 года . Рядом со зданием расположен сквер с прогулочной зоной и фонтаном. Идеально подойдет под представительский офис компании, ресторан , либо под жилье .",520 000,250.00 м2,Продажа,Баррикадная,1,2007,ЦАО,здание,,
29,"Продажа помещения 334 кв.м. ЦАО ш. Пятницкое, 21","Продается помещение 334 м2 по адресу:Пятницкое шоссе, 21 (5 мин пешком от метро Митино).Помещение с большими витражными окнами. Угловое.С ремонтом. Все коммуникации подведены, сделана вытяжка. Мощность 65 кВт.Первая линия домов.Три отдельных входа. Вокруг современный жилой комплекс Митино-Лайф. Отлично подойдет под продуктовый супермаркет, салон красоты, кафе и др. В настоящее время заключен договор аренды со Вкус виллом на часть площади (Арендный поток 380 тыс/мес). Цена 90 млн рублей-МАП;630 000руб.. Все документы присутствуют! ЗВОНИТЕ!",269 461,334.00 м2,Продажа,Митино,1,,ЦАО,помещение,2 мин.,630 000 руб.
30,"Продажа помещения 274 кв.м. ЗАО ш. Аминьевское, 26Б","Помещение свободного назначения 274 м2, 2-й этаж, в центре густонаселённого жилого массива. в пределах 100 метров открываться метро.Первая линия, отличная визуализация. Прекрасные рекламные возможности.",218 978,274.00 м2,Продажа,Кунцевская,2,1971,ЗАО,помещение,,
31,"Продажа помещения 1016.80 кв.м. САО пр-кт Ленинградский, 77к2","ПPOДAЖA АPEHДНОГО БИЗНEСA. ПЕРВАЯ ЛИНИЯ ЛEНИНГРAДCKOГO ПРОСПЕКTA!! ГOТOBЫЙ APEНДHЫЙ БИЗНEС!! ВCТPОEHHO-ПРИСTРOEHHОЕ ПOМЕЩЕНИЕ!! Пpедлaгaется к продаже тоpгoвoe пoмeщeние oбщeй площaдью 1 016,8 кв.м., расположено в подвале и на 1-ом этаже 9/этажного кирпичного жилого дома, площадь 1-го этажа 599,6 кв.м., площадь в подвале 417,2 кв.м. Есть 2 отдельных входа, сплошное витринное остекление, зальная планировка, высота потолков 1-го этажа 5,4 м, в подвале - 2,55 м, все городские коммуникации. Помещение сдано в аренду супермаркету ""Дикси"" по ставке 2 900 000 руб/мес. ДДА от 28.04.2014 г. на 7 лет. Рядом расположен главный офис ВТБ, ресторан, банк Открытие, магазины, аптека Эвалар, отличный торговый коридор, прекрасная визуализация. Собственность физ. лицо.",338 316,1016.80 м2,Продажа,Сокол,1,1962,САО,помещение,,2 900 000 руб.
32,"Продажа помещения 1330 кв.м. ЦАО наб. Пресненская, 12","Продажа  Фитнес-клуба ""Небо"" (Wellness Club Nebo) расположен в пешей доступности от станции метро ""Выставочная"", ""Деловой центр"" и ""Международная"" в здании делового центра ""Башня Федерация"" в ""Москва-Сити"". Это современный фитнес-клуб с шикарными видами на Москву и «Самым высоким бассейном в Европе», находящийся непосредственно под рестораном ""Sixty"". Одно из лучших заведений VIP класса не только в Москва-Сити. Предлагаем Купить Арендный Бизнес Фитнес-клуб ""Небо"". Инвестиция в Недвижимость.Документы готовы к продаже,возможен торг.",601 504,1330.00 м2,Продажа,Международная,61,до 1917,ЦАО,помещение,,
33,"Продажа помещения 1524 кв.м. ЗАО ул. Василисы Кожиной, 29","Продается готовый арендный бизнес,         МАП-1950 000 руб. арендатор : аренда премиум автомобилей,  Два этажа. Все коммуникации центральные, интернет, телефония. Отличные подъездные пути. Своя парковка/стоянка. Земельный участок площадью 5787 кв.м. в аренде на 50 лет. документы готовы к продаже.",143 701,1524.00 м2,Продажа,Парк Победы,1,2001,ЗАО,помещение,,1 950 000 руб.
34,"Продажа здания 2000 кв.м. ЗАО ш. Очаковское, 2А","Продаётся здание, действующего дилерского центра. Возможна покупка со всеми активами, обсуждается. Первая линия, высокий трафик, огромный рекламный потенциал.  Рядом  метро, ""Аминьевское шоссе"". земля в аренде до 2061 года, документы готовы к продаже.",125 000,2000.00 м2,Продажа,Кунцевская,1,2006,ЗАО,здание,15 мин.,
35,"Продажа помещения 196.70 кв.м. ЗАО ш. Можайское, 30",Арендный бизнес с доходностью 10% - кофейня Кофе Хауз. Долгосрочный договор аренды. Вся площадь в первом этаже. Дом в списке на реновацию. Детальная информация по телефону. Предложите свою цену. с я января этого года арендный месячный поток 700 000 руб.,279 614,196.70 м2,Продажа,Кунцевская,1,1960,ЗАО,помещение,,700 000 руб.
36,"Продажа помещения 532.90 кв.м. ЦАО ул. Хамовнический Вал, 24","Помещения 532,9м2 ул. Хамовнический вал, 24 район Хамовники, ЦАО Москвы. Метро Спортивная-500м, вблизи  транспортной развязки ТТК и Комсомольский проспект. Помещение в цокольном этаже с окнами, имеет вход с фасада и 2 со двора. В рабочем состоянии с офисной отделкой. Помещение сдано в аренду МАП 716 000 рублей. Возможная рассрочка на 5 лет",138 352,532.90 м2,Продажа,Спортивная,цокольный,,ЦАО,помещение,,716 000 руб.
37,"Продажа помещения 263 кв.м. ЦАО ул. Покровский бульвар, 14/16с1","Продажа подвального помещения 269,3 м2.  на Покровском будьваре д. 14/6 в Басманном районе ЦАО Москвы. Метро Китай-город - 15 минут пешком на расстоянии 1 км, как и метро Курская, Чкаловская. Покровский бульвар как часть Бульварного кольца - популярное туристическое место, и место отдыха москвичей. Помещение оборудовано под ресторан: все необходимые инженерные коммуникации: приточно-вытяжная система вентиляции,кондиционирование, интернет, электричество 100 кВт. 5 залов на 70 посадочных мест, 3 с/у, высота потолков 2.60 м. 2 отдельных входа. Первый этаж - нежилой.",182 510,263.00 м2,Продажа,Китай-город,цокольный,,ЦАО,помещение,10 мин.,260 000 руб.
38,"Продажа помещения 180.70 кв.м. ВАО ш. Энтузиастов, 20","Предлагается помещение на выходе из метро Авиамоторная. Первый этаж жилого сталинского дома. 1-эт. -110,9м2, 2-эт. -69,8м2. Первый этаж арендует пекарня ""Хлебница"", антресоль - ""Линзмастер"". Долгосрочные договора аренды на 5 лет. В помещении 60кВт электроэнергии.",830 105,180.70 м2,Продажа,Авиамоторная,1,,ВАО,помещение,,1 250 000 руб.
